Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,County,Submitted Data,Passed Quality Assurance Check,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Residents Hospitalizations with Confirmed COVID-19,Residents Hospitalizations with Confirmed COVID-19 and Up to Date with Vaccines,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents","Number of Residents who are Up to Date on COVID-19 Vaccinations, 14 Days or More Before Positive Test",Number of Residents Staying in this Facility for At Least 1 Day This Week,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week,Number of Residents Staying in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Residents Up to Date with COVID-19 Vaccines,Percentage of Current Residents Up to Date with COVID-19 Vaccines,Number of Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines,Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines
05/24/20,15044,"CAREGIVERS OF PLEASANT GROVE, INC",700 FIRST AVENUE,PLEASANT GROVE,AL,35127,2057448120,Jefferson,Y,Y,22.0,22.0,12.0,12.0,9.0,9.0,64.0,38.0,0.0,0.0,7.0,7.0,578.95,236.84,578.95,236.84,,,,,,,,,
05/24/20,15045,EAMC LANIER NURSING HOME,4800 48TH STREET,VALLEY,AL,36854,3347561401,Chambers,Y,Y,0.0,0.0,10.0,10.0,0.0,0.0,103.0,88.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15047,"NORTHWAY HEALTH AND REHABILITATION, LLC",1424 NORTH 25TH STREET,BIRMINGHAM,AL,35234,2053285870,Jefferson,Y,Y,0.0,0.0,6.0,6.0,0.0,0.0,113.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15048,CULLMAN HEALTH CARE CENTER,1607 MAIN AVE NE,CULLMAN,AL,35055,2567348745,Cullman,Y,Y,0.0,0.0,1.0,1.0,0.0,0.0,95.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,101 VILLA DRIVE,DAPHNE,AL,36526,2516214200,Baldwin,Y,Y,4.0,4.0,17.0,17.0,0.0,0.0,117.0,69.0,0.0,0.0,5.0,5.0,57.97,0.0,57.97,0.0,,,,,,,,,
05/24/20,15050,OAK CREST HEALTH & WELLNESS,325 SELMA ROAD,BESSEMER,AL,35020,2054289383,Jefferson,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,79.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15053,CLEBURNE COUNTY NURSING HOME,122 BROCKFORD ROAD,HEFLIN,AL,36264,2564632121,Cleburne,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,82.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15060,RIDGEWAY REHABILITATION & SENIOR LIVING,4201 BESSEMER SUPER HIGHWAY,BESSEMER,AL,35020,2054283249,Jefferson,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,66.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15063,DIVERSICARE OF BOAZ,600 CORLEY AVENUE,BOAZ,AL,35957,2565938380,Marshall,Y,Y,1.0,1.0,0.0,0.0,0.0,0.0,100.0,96.0,0.0,0.0,3.0,3.0,10.42,0.0,10.42,0.0,,,,,,,,,
05/24/20,15065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",601 JASMINE TRAIL,PRATTVILLE,AL,36066,3343652241,Autauga,Y,Y,0.0,0.0,13.0,13.0,0.0,0.0,162.0,122.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",390 UNDERWOOD ROAD,RUSSELLVILLE,AL,35653,2563323826,Franklin,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,63.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15067,COTTAGE OF THE SHOALS,500 JOHN ALDRIDGE DRIVE,TUSCUMBIA,AL,35674,2563834541,Colbert,Y,Y,1.0,1.0,3.0,3.0,0.0,0.0,103.0,82.0,0.0,0.0,4.0,4.0,12.2,0.0,12.2,0.0,,,,,,,,,
05/24/20,15071,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,705 GANDY STREET NE,RUSSELLVILLE,AL,35653,2563323773,Franklin,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15073,"HANCEVILLE NURSING & REHAB CENTER, INC",420 MAIN STREET NE,HANCEVILLE,AL,35077,2563526481,Cullman,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,208.0,188.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15075,"SUMMERFORD HEALTH AND REHAB, LLC",4087 HIGHWAY 31 SOUTHWEST,FALKVILLE,AL,35622,2567845275,Morgan,Y,Y,2.0,2.0,31.0,31.0,0.0,0.0,216.0,190.0,0.0,0.0,0.0,0.0,10.53,0.0,10.53,0.0,,,,,,,,,
05/24/20,15076,FAIR HAVEN,1424 MONTCLAIR ROAD,BIRMINGHAM,AL,35210,2059564150,Jefferson,Y,Y,0.0,0.0,5.0,5.0,0.0,0.0,260.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15083,"ELBA NURSING AND REHABILITATION CENTER, LLC",987 DRAYTON STREET,ELBA,AL,36323,3348972257,Coffee,Y,Y,0.0,0.0,3.0,3.0,0.0,0.0,111.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15084,PARK PLACE,100 PARK PLACE,SELMA,AL,36701,3348723471,Dallas,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,103.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15089,EVERGREEN NURSING HOME,100 SANDERS DRIVE,EVERGREEN,AL,36401,2515783783,Conecuh,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,61.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",200 NORTH PINE HILL ROAD,BIRMINGHAM,AL,35217,2058492352,Jefferson,Y,Y,12.0,12.0,5.0,5.0,4.0,4.0,190.0,159.0,0.0,0.0,3.0,3.0,75.47,25.16,75.47,25.16,,,,,,,,,
05/24/20,15097,"SOUTH HEALTH AND REHABILITATION, LLC",1220 SOUTH 17TH STREET,BIRMINGHAM,AL,35205,2059332180,Jefferson,Y,Y,0.0,0.0,2.0,2.0,0.0,0.0,67.0,67.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15098,ALLEN HEALTH AND REHABILITATION,735 SOUTH WASHINGTON AVENUE,MOBILE,AL,36603,2514332642,Mobile,Y,Y,8.0,8.0,6.0,6.0,2.0,2.0,119.0,78.0,0.0,0.0,18.0,18.0,102.56,25.64,102.56,25.64,,,,,,,,,
05/24/20,15100,CROWNE HEALTH CARE OF MOBILE,954 NAVCO ROAD,MOBILE,AL,36605,2514738684,Mobile,Y,Y,1.0,1.0,8.0,8.0,5.0,5.0,148.0,99.0,0.0,0.0,2.0,2.0,10.1,50.51,10.1,50.51,,,,,,,,,
05/24/20,15101,ALTOONA  HEALTH & REHAB,6532 WALNUT GROVE ROAD,ALTOONA,AL,35952,2055896394,Etowah,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,50.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",148 TUSCALOOSA ST,MOBILE,AL,36607,2514715431,Mobile,Y,Y,78.0,78.0,24.0,24.0,15.0,15.0,164.0,92.0,0.0,0.0,16.0,16.0,847.83,163.04,847.83,163.04,,,,,,,,,
05/24/20,15104,SOUTHLAND NURSING HOME,500 SHIVERS TERRACE,MARION,AL,36756,3346836141,Perry,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,91.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",1201 22ND STREET NORTH,BIRMINGHAM,AL,35234,2052515271,Jefferson,Y,Y,0.0,0.0,10.0,10.0,0.0,0.0,95.0,87.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15111,DIVERSICARE OF BIG SPRINGS,500 ST. CLAIR AVENUE SOUTHWEST,HUNTSVILLE,AL,35801,2565395111,Madison,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,135.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,603 WRIGHT STREET,TUSKEGEE,AL,36083,3347274960,Macon,Y,Y,0.0,0.0,1.0,1.0,0.0,0.0,111.0,95.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15113,RIVER CITY CENTER,1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,AL,35601,2563556911,Morgan,Y,Y,0.0,0.0,9.0,9.0,0.0,0.0,183.0,144.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15114,SHADESCREST HEALTH CARE CENTER,331 WEST 25TH STREET,JASPER,AL,35502,2053849086,Walker,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,107.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15115,"CORDOVA HEALTH AND REHABILITATION, LLC",70 HIGHLAND STREET WEST,CORDOVA,AL,35550,2054839282,Walker,Y,Y,0.0,0.0,14.0,14.0,0.0,0.0,114.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,105 TEAKWOOD DRIVE SW,HUNTSVILLE,AL,35801,2568815000,Madison,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,159.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",824 SIXTH AVENUE WEST,BIRMINGHAM,AL,35204,2057872619,Jefferson,Y,Y,0.0,0.0,4.0,4.0,0.0,0.0,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15119,ARABELLA HEALTH AND WELLNESS OF SELMA,11 BELL ROAD,SELMA,AL,36701,3348747425,Dallas,N,,,,,,,,,,,,,,,,,,,,,,,,,,
05/24/20,15120,"NHC HEALTHCARE, ANNISTON",2300 COLEMAN RD,ANNISTON,AL,36207,2568315730,Calhoun,Y,Y,0.0,0.0,30.0,30.0,0.0,0.0,151.0,116.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15121,CROWNE HEALTH CARE OF CITRONELLE,19225 NORTH 4TH STREET,CITRONELLE,AL,36522,2518665509,Mobile,Y,Y,0.0,0.0,1.0,1.0,0.0,0.0,69.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15123,WASHINGTON COUNTY NURSING HOME,14600 ST STEPHENS AVENUE,CHATOM,AL,36518,2518476412,Washington,Y,Y,16.0,16.0,4.0,4.0,4.0,4.0,88.0,71.0,0.0,0.0,8.0,8.0,225.35,56.34,225.35,56.34,,,,,,,,,
05/24/20,15124,CLAY COUNTY NURSING HOME,83825 HIGHWAY 9,ASHLAND,AL,36251,2563542131,Clay,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,83.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15126,TRAYLOR RETIREMENT COMMUNITY,1235 YANCEY STREET,ROANOKE,AL,36274,3348633500,Randolph,Y,Y,33.0,33.0,6.0,6.0,5.0,5.0,123.0,84.0,0.0,0.0,12.0,12.0,392.86,59.52,392.86,59.52,,,,,,,,,
05/24/20,15127,BROOKSHIRE HEALTHCARE CENTER,4320 JUDITH LANE,HUNTSVILLE,AL,35805,2568371730,Madison,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,129.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15128,"NHC HEALTHCARE, MOULTON",300 HOSPITAL STREET,MOULTON,AL,35650,2569741146,Lawrence,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,120.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15129,ATMORE NURSING CENTER,715 EAST LAUREL STREET,ATMORE,AL,36502,2513689121,Escambia,Y,Y,0.0,0.0,1.0,1.0,0.0,0.0,100.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15132,DIVERSICARE OF OXFORD,1130 SOUTH HALE STREET,OXFORD,AL,36203,2568310481,Calhoun,Y,Y,0.0,0.0,2.0,2.0,0.0,0.0,173.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15133,MAGNOLIA RIDGE,420 DEAN DRIVE,GARDENDALE,AL,35071,2056318709,Jefferson,Y,Y,5.0,5.0,3.0,3.0,0.0,0.0,148.0,123.0,0.0,0.0,2.0,2.0,40.65,0.0,40.65,0.0,,,,,,,,,
05/24/20,15134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,733 MARY VANN LANE,BIRMINGHAM,AL,35215,2058541361,Jefferson,Y,Y,0.0,0.0,4.0,4.0,0.0,0.0,132.0,125.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15135,JOHN KNOX MANOR INC  I I,4401 NARROW LANE ROAD,MONTGOMERY,AL,36116,3342816336,Montgomery,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,98.0,57.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15136,FALKVILLE REHABILITATION AND HEALTHCARE CENTER,10 WEST 3RD STREET,FALKVILLE,AL,35622,2567845291,Morgan,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,116.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15137,ALICEVILLE MANOR NURSING HOME,703 17TH STREET NORTHWEST,ALICEVILLE,AL,35442,2053736307,Pickens,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,97.0,77.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15138,HENDRIX HEALTH AND REHABILITATION,1000 HIGHWAY 33,DOUBLE SPRINGS,AL,35553,2054892136,Winston,Y,Y,0.0,0.0,10.0,10.0,0.0,0.0,110.0,99.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15139,"TALLASSEE HEALTH AND REHABILITATION, LLC",2639 GILMER AVENUE,TALLASSEE,AL,36078,3342833975,Elmore,Y,Y,1.0,1.0,15.0,15.0,0.0,0.0,111.0,87.0,0.0,0.0,1.0,1.0,11.49,0.0,11.49,0.0,,,,,,,,,
05/24/20,15141,ARBOR WOODS HEALTH AND REHAB,515 2ND AVENUE NORTHWEST,REFORM,AL,35481,2053756379,Pickens,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,85.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15142,"LINEVILLE HEALTH AND REHABILITATION, LLC",88073 HIGHWAY 9,LINEVILLE,AL,36266,2563962104,Clay,Y,Y,0.0,0.0,2.0,2.0,0.0,0.0,101.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15143,FOREST MANOR HEALTH AND REHAB,2215 32ND STREET,NORTHPORT,AL,35476,2053395400,Tuscaloosa,Y,Y,17.0,17.0,7.0,7.0,0.0,0.0,182.0,151.0,0.0,0.0,5.0,5.0,112.58,0.0,112.58,0.0,,,,,,,,,
05/24/20,15144,THE HEALTHCARE CENTER AT BUCK CREEK,"850 9TH STREET, NORTHWEST",ALABASTER,AL,35007,2056633859,Shelby,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,198.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15145,DIVERSICARE OF RIVERCHASE,2500 RIVERHAVEN DRIVE,BIRMINGHAM,AL,35244,2059870901,Jefferson,Y,Y,51.0,51.0,10.0,10.0,10.0,10.0,132.0,100.0,0.0,0.0,23.0,23.0,510.0,100.0,510.0,100.0,,,,,,,,,
05/24/20,15147,GLENWOOD CENTER,211 ANA DRIVE,FLORENCE,AL,35630,2567668963,Lauderdale,Y,Y,1.0,1.0,7.0,7.0,0.0,0.0,125.0,98.0,0.0,0.0,0.0,0.0,10.2,0.0,10.2,0.0,,,,,,,,,
05/24/20,15148,DIVERSICARE OF ARAB,235 THIRD STREET SE,ARAB,AL,35016,2565863111,Marshall,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,87.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15149,SUNSET MANOR,251 SUNSET PLACE,GUIN,AL,35563,2054683331,Marion,Y,Y,0.0,0.0,1.0,1.0,0.0,0.0,71.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15150,WIREGRASS REHABILITATION CENTER & NURSING HOME,1200 MAPLE AVENUE WEST,GENEVA,AL,36340,3346843655,Geneva,Y,Y,0.0,0.0,2.0,2.0,0.0,0.0,96.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15151,AZALEA HEALTH AND REHAB LLC,1758 SPRINGHILL AVE,MOBILE,AL,36607,2514790551,Mobile,Y,Y,4.0,4.0,0.0,0.0,0.0,0.0,170.0,91.0,0.0,0.0,2.0,2.0,43.96,0.0,43.96,0.0,,,,,,,,,
05/24/20,15152,EXTENDICARE HEALTH CENTER,950 SOUTH ST. ANDREWS STREET,DOTHAN,AL,36302,3347931177,Houston,Y,Y,2.0,2.0,17.0,17.0,0.0,0.0,170.0,143.0,0.0,0.0,1.0,1.0,13.99,0.0,13.99,0.0,,,,,,,,,
05/24/20,15153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,"1020 TUSCALOOSA AVENUE, SW",BIRMINGHAM,AL,35211,2057886330,Jefferson,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,117.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,2059325966,Fayette,Y,Y,0.0,0.0,1.0,1.0,0.0,0.0,122.0,102.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15155,"RIDGEVIEW HEALTH SERVICES, INC","907 11TH STREET, NE",JASPER,AL,35504,2052219111,Walker,Y,Y,4.0,4.0,0.0,0.0,0.0,0.0,148.0,126.0,0.0,0.0,0.0,0.0,31.75,0.0,31.75,0.0,,,,,,,,,
05/24/20,15156,CROWNE HEALTH CARE OF FT PAYNE,403 13TH STREET NORTHWEST,FORT PAYNE,AL,35967,2568455990,DeKalb,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,123.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
